"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2013","-101.561996459961","51.9860992431641","381","-1.904","-14.614","1.503753552","3.73187372927123","0.947580575874045","2.667057946776",
"1/2/2013","-101.561996459961","51.9860992431641","381","-3.70499999999998","-17.717","0.6995200968","3.62655522903188","0.908718786986231","4.535066575296",
"1/3/2013","-101.561996459961","51.9860992431641","381","-1.08999999999997","-15.726","0.0514984212","5.53176469891744","0.935702889808845","4.770735159096",
"1/4/2013","-101.561996459961","51.9860992431641","381","-1.666","-16.66","0.3707885952","2.84766536695583","0.946819272886509","3.370925245284",
"1/5/2013","-101.561996459961","51.9860992431641","381","-7.70499999999998","-21.734","0.4609108944","2.54330306231751","0.917787642268307","3.44576613348",
"1/6/2013","-101.561996459961","51.9860992431641","381","-0.101999999999975","-12.294","1.0042189596","4.46176177244923","0.953165076000211","2.304286275816",
"1/7/2013","-101.561996459961","51.9860992431641","381","-3.06799999999998","-6.48399999999998","2.120018184","4.72492750982351","0.955625783447777","3.213940581144",
"1/8/2013","-101.561996459961","51.9860992431641","381","-2.37400000000002","-9.79599999999999","3.496742712","5.02152771537196","0.952036821518298","2.148261925932",
"1/9/2013","-101.561996459961","51.9860992431641","381","-1.822","-17.048","2.089118916","4.14537271884122","0.934160699511036","2.616613545168",
"1/10/2013","-101.561996459961","51.9860992431641","381","0.34699999999998","-11.847","2.171516652","5.45955744184621","0.956482467711185","1.69698864834",
"1/11/2013","-101.561996459961","51.9860992431641","381","-12.277","-23.827","0.496101132","6.95902323207968","0.823341905736898","4.30490229228",
"1/12/2013","-101.561996459961","51.9860992431641","381","-18.224","-24.593","0.0102996756","3.20486326468764","0.780354715622395","5.6851828469244",
"1/13/2013","-101.561996459961","51.9860992431641","381","-19.216","-27.272","0.0798225192","3.33283019428578","0.788107217989663","5.572205740152",
"1/14/2013","-101.561996459961","51.9860992431641","381","-23.386","-31.1","0.0034332264","2.57829997889319","0.752909140011707","5.990015725236",
"1/15/2013","-101.561996459961","51.9860992431641","381","-1.36700000000002","-22.21","3.4864413984","4.4955589928565","0.914148612088161","2.008331413632",
"1/16/2013","-101.561996459961","51.9860992431641","381","-12.33","-25.201","0.1304626716","2.51379728068886","0.808549412106162","5.36439011364",
"1/17/2013","-101.561996459961","51.9860992431641","381","-15.599","-26.005","0.8651732436","2.67764157907903","0.810954808777185","4.703611752324",
"1/18/2013","-101.561996459961","51.9860992431641","381","-11.678","-15.087","6.4682028","3.47589022698687","0.896747133991675","2.9488051987344",
"1/19/2013","-101.561996459961","51.9860992431641","381","-14.255","-27.267","2.3311604376","3.94253143880235","0.801483434565858","6.245325901476",
"1/20/2013","-101.561996459961","51.9860992431641","381","-22.475","-27.886","0.357055704","6.11784041870855","0.752410928762312","5.897924807508",
"1/21/2013","-101.561996459961","51.9860992431641","381","-26.429","-29.153","0.0892639368","4.59889322331332","0.745510735796455","6.394320397584",
"1/22/2013","-101.561996459961","51.9860992431641","381","-17.62","-27.911","0.0978469452","3.3960129127676","0.778876170401071","5.870265949728",
"1/23/2013","-101.561996459961","51.9860992431641","381","-22.295","-37.278","0.0446319648","2.63320984714838","0.740235221955505","6.7736964977784",
"1/24/2013","-101.561996459961","51.9860992431641","381","-19.247","-27.261","6.1008461532","4.31285382281175","0.784122905175913","1.9886308323516",
"1/25/2013","-101.561996459961","51.9860992431641","381","-22.196","-36.446","0.0308990412","2.21380348797741","0.75988102358004","6.9949513285596",
"1/26/2013","-101.561996459961","51.9860992431641","381","-12.424","-21.744","0.3167152092","1.83714139312213","0.850715518547144","5.92744613436",
"1/27/2013","-101.561996459961","51.9860992431641","381","-7.11700000000002","-18.976","1.308060756","1.97036865872019","0.918371031747697","3.067926371892",
"1/28/2013","-101.561996459961","51.9860992431641","381","-6.53399999999999","-11.733","0.719261316","2.11439702779094","0.946711367248146","4.7514943563984",
"1/29/2013","-101.561996459961","51.9860992431641","381","-11.613","-22.133","1.290893544","4.06403971840393","0.882200914646095","4.888697603976",
"1/30/2013","-101.561996459961","51.9860992431641","381","-23.666","-31.343","0.411987456","4.40911825984018","0.738637820075585","6.963722561556",
"1/31/2013","-101.561996459961","51.9860992431641","381","-29.648","-35.535","0.0532150236","3.76379836643222","0.712893357663388","7.6967686414152",
"2/1/2013","-101.561996459961","51.9860992431641","381","-22.039","-33.73","0.1476287712","2.08963826065357","0.745351670433189","7.572535319988",
"2/2/2013","-101.561996459961","51.9860992431641","381","-14.729","-26.626","1.1827467864","4.20055323060558","0.840874904289034","7.0090310957292",
"2/3/2013","-101.561996459961","51.9860992431641","381","-17.718","-31.547","0.0274658328","1.85945803316658","0.790989967037481","7.012842741576",
"2/4/2013","-101.561996459961","51.9860992431641","381","-12.748","-30.818","3.07617138","2.53405532237289","0.834583989892785","4.168091661372",
"2/5/2013","-101.561996459961","51.9860992431641","381","-13.53","-20.4","0.775909116","1.9142021037188","0.847339081456515","6.6259618285464",
"2/6/2013","-101.561996459961","51.9860992431641","381","-12.861","-16.996","2.214431532","3.43399163316658","0.878732334726041","5.04820822878",
"2/7/2013","-101.561996459961","51.9860992431641","381","-9.83199999999999","-18.243","0.664329348","3.47887325910996","0.897281418094734","7.022173849164",
"2/8/2013","-101.561996459961","51.9860992431641","381","-2.50099999999998","-10.559","0.956153304","2.65281798612832","0.95304031537452","5.927381644356",
"2/9/2013","-101.561996459961","51.9860992431641","381","-3.22300000000001","-11.124","0.609397902","2.15310229843209","0.959411962884384","8.18557181565228",
"2/10/2013","-101.561996459961","51.9860992431641","381","-5.74799999999999","-12.068","1.575851148","3.51441411057384","0.945301131805164","6.5010738287772",
"2/11/2013","-101.561996459961","51.9860992431641","381","-1.48599999999999","-15.732","0.4531863168","3.93659785991897","0.92473496808037","8.16731214498",
"2/12/2013","-101.561996459961","51.9860992431641","381","-0.252999999999986","-2.20999999999998","1.62391644","4.63184579493742","0.969771129639906","5.3523236144916",
"2/13/2013","-101.561996459961","51.9860992431641","381","-2.75799999999998","-10.289","0.4703520384","2.16767566191765","0.96025342158647","7.931524190076",
